,FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
0,6037599000,42.1,2.49,74028.0,34010.0,0.4273,27.89999962,1541.0,0.04668534080298786,13.689547581903277,23.01092043681747
1,6037670416,50.0,2.71,97788.0,62610.0,0.5355,38.5,2127.0,4.006085192697769,4.191263282172373,58.50059031877214
2,6037670602,52.2,2.57,155688.0,75936.0,0.4781,26.20000076,3041.0,2.6477236034872456,2.0770920711004592,66.22728180547234
3,6037296210,28.1,3.11,40145.0,16645.0,0.4056,38.20000076,1042.0,13.189113747383113,36.9060773480663,15.359116022099448
4,6037296220,34.3,2.51,30020.0,24111.0,0.5754,31.79999924,936.0,5.607020965382739,29.19655667144907,18.40028694404591
5,6037297110,34.6,2.63,40000.0,20759.0,0.4912,37.5,1149.0,9.709543568464731,33.09641532756489,14.091470951792337
6,6037297120,36.9,2.79,49229.0,26693.0,0.4433,30.39999962,1229.0,8.909657320872274,25.975975975975974,15.965965965965967
7,6037297601,34.4,2.29,55246.0,32186.0,0.4415,43.5,1670.0,8.118971061093246,6.887346502936466,32.40790176187934
8,6037980031,43.2,2.04,,9255.0,0.2622,37.29999924,2300.0,0.0,7.9963235294117645,14.430147058823529
9,6037980033,,,,,,,,,0.0,0.0
10,6037295103,44.5,2.6,124663.0,54654.0,0.355,25.29999924,2364.0,3.8223140495867765,4.4493608652900685,36.750245821042284
11,6037296300,42.7,2.45,80718.0,40284.0,0.439,37.29999924,2066.0,9.097772744431861,9.521218715995646,40.28835690968444
12,6037296401,47.5,2.52,92571.0,46269.0,0.4268,27.79999924,1465.0,4.176904176904177,8.094645080946451,36.28061436280615
13,6037296402,38.2,2.96,108929.0,39347.0,0.3491,28.60000038,1503.0,8.130939809926083,11.593573599652627,27.095093356491535
14,6037296500,34.3,2.64,35870.0,23022.0,0.5136,51.0,1236.0,11.092985318107667,27.961672473867594,17.073170731707318
15,6037296600,37.7,2.73,40607.0,24015.0,0.5106,46.0,1439.0,13.636363636363635,31.45936498689193,11.127293912030293
16,6037296901,30.6,2.73,40913.0,22712.0,0.4458,37.79999924,1214.0,4.148660328435609,23.47972972972973,18.277027027027025
17,6037296902,38.1,2.46,52585.0,30743.0,0.4514,35.29999924,1224.0,5.704407951598963,20.604586518415566,17.095205003474632
18,6037297000,42.3,2.39,110699.0,53969.0,0.4136,26.39999962,1722.0,5.903398926654741,4.797635288767622,40.74579354251932
19,6037297201,31.3,3.01,60574.0,24112.0,0.3781,34.20000076,1544.0,2.595744680851064,21.884858044164037,23.462145110410095
20,6037297202,39.1,2.7,70767.0,37121.0,0.4346,31.79999924,1417.0,6.886374815543532,12.257327750285498,24.933384088313666
21,6037297300,36.4,2.81,102143.0,44790.0,0.3999,30.60000038,2112.0,5.391658189216684,9.169435215946844,37.27574750830564
22,6037297400,55.0,2.22,82955.0,54972.0,0.4554,25.79999924,2139.0,6.570841889117044,4.593373493975903,49.623493975903614
23,6037297500,46.0,2.25,88229.0,64023.0,0.4744,31.60000038,1744.0,3.0214015946286197,4.564088548783821,35.72014211533206
24,6037297602,43.3,2.15,64873.0,42294.0,0.4822,29.60000038,1410.0,7.898658718330849,7.1017274472168905,41.34357005758157
25,6037609900,40.2,3.08,71071.0,23725.0,0.3916,38.90000153,1429.0,7.142857142857142,20.947802197802197,25.892857142857146
26,6037670500,55.3,2.62,250001.0,165658.0,0.5413,18.29999924,3501.0,5.378151260504202,2.3746701846965697,70.36059806508355
27,6037670702,52.6,2.78,200292.0,94852.0,0.4353,39.40000153,3501.0,1.7415534656913967,2.346316283435007,74.44861567339277
28,6037800406,53.2,2.27,145260.0,94560.0,0.5518,25.89999962,1689.0,7.5139146567718,5.401234567901234,55.50411522633745
29,6037800408,52.0,2.31,149026.0,114050.0,0.5712,27.39999962,2080.0,2.0518081559374197,2.0773121387283235,69.07514450867052
30,6037800410,20.5,2.7,116190.0,38977.0,0.4978,35.79999924,2392.0,9.057005860415558,0.7364975450081833,68.65793780687397
31,6037800324,44.8,2.85,143750.0,70522.0,0.4434,24.29999924,3324.0,5.099778270509978,3.6066261270706645,65.25477039211574
32,6037800325,53.5,2.36,133688.0,85788.0,0.5033,29.60000038,2721.0,2.094240837696335,0.3238575026988125,69.44944224541202
33,6037800326,52.8,2.58,133942.0,79792.0,0.4874,32.70000076,2207.0,2.6679371129109097,2.086765513454146,63.28940142778693
34,6037800327,38.1,2.62,92740.0,47434.0,0.4153,28.70000076,2415.0,6.313943291435253,4.734713300023793,52.24839400428265
35,6037800328,35.7,2.8,105625.0,53271.0,0.4148,27.10000038,2139.0,4.055496264674493,1.6068559185859668,62.77450455275844
36,6037800329,39.2,2.68,94250.0,64488.0,0.5686,38.79999924,2476.0,2.463728442376129,2.551562832234744,53.94429087816287
37,6037800330,46.7,2.63,134250.0,72236.0,0.5066,30.60000038,3400.0,4.3577981651376145,2.593192868719611,59.80551053484603
38,6037800331,40.6,3.15,131375.0,47437.0,0.3715,51.0,3153.0,4.261363636363636,9.014675052410901,52.41090146750524
39,6037800332,46.4,2.88,139145.0,70102.0,0.4603,51.0,3501.0,2.2934338674206725,1.3894826849080804,66.97306541256948
40,6037262601,48.0,2.62,212386.0,136630.0,0.4881,14.89999962,3501.0,3.715846994535519,2.110514198004605,76.01688411358404
41,6037262604,49.2,2.28,200625.0,129807.0,0.5354,21.5,3407.0,1.7169179229480735,0.9932170542635659,79.40891472868216
42,6037262704,45.8,2.2,122083.0,101170.0,0.5724,25.29999924,2250.0,6.074766355140187,1.7709118311981915,72.11755840241145
43,6037262706,45.9,2.71,188409.0,140246.0,0.573,27.79999924,1873.0,0.7614213197969544,2.3870417732310316,79.07075873827793
44,6037800504,56.0,2.01,168235.0,170615.0,0.5923,28.39999962,2653.0,0.4329004329004329,3.420195439739414,66.34093376764386
